 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Real-time                                    |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2022-03-07                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2022-01-06 07:00:00.000 006        -3.00
2022-01-06 08:00:00.000 006        -5.00
2022-01-06 09:00:00.000 006        -5.00
2022-01-06 10:00:00.000 006        -4.00
2022-01-06 11:00:00.000 006        -3.00
2022-01-06 12:00:00.000 006        -1.00
2022-01-06 13:00:00.000 006         0.00
2022-01-06 14:00:00.000 006         1.00
2022-01-06 15:00:00.000 006         3.00
2022-01-06 16:00:00.000 006         4.00
2022-01-06 17:00:00.000 006         1.00
2022-01-06 18:00:00.000 006         0.00
2022-01-06 19:00:00.000 006        -1.00
2022-01-06 20:00:00.000 006        -1.00
2022-01-06 21:00:00.000 006        -4.00
2022-01-06 22:00:00.000 006        -6.00
2022-01-06 23:00:00.000 006        -6.00
2022-01-07 00:00:00.000 007        -6.00
2022-01-07 01:00:00.000 007        -3.00
2022-01-07 02:00:00.000 007         0.00
2022-01-07 03:00:00.000 007         1.00
2022-01-07 04:00:00.000 007         2.00
2022-01-07 05:00:00.000 007         3.00
2022-01-07 06:00:00.000 007         4.00
2022-01-07 07:00:00.000 007         4.00
2022-01-07 08:00:00.000 007         4.00
2022-01-07 09:00:00.000 007         2.00
2022-01-07 10:00:00.000 007        -1.00
2022-01-07 11:00:00.000 007        -3.00
2022-01-07 12:00:00.000 007        -6.00
2022-01-07 13:00:00.000 007        -5.00
2022-01-07 14:00:00.000 007        -1.00
2022-01-07 15:00:00.000 007         3.00
2022-01-07 16:00:00.000 007         4.00
2022-01-07 17:00:00.000 007         5.00
2022-01-07 18:00:00.000 007         6.00
2022-01-07 19:00:00.000 007         5.00
2022-01-07 20:00:00.000 007         4.00
2022-01-07 21:00:00.000 007         0.00
2022-01-07 22:00:00.000 007        -1.00
2022-01-07 23:00:00.000 007         0.00
2022-01-08 00:00:00.000 008        -2.00
2022-01-08 01:00:00.000 008        -1.00
2022-01-08 02:00:00.000 008         1.00
2022-01-08 03:00:00.000 008         4.00
2022-01-08 04:00:00.000 008         7.00
2022-01-08 05:00:00.000 008         8.00
2022-01-08 06:00:00.000 008         9.00
2022-01-08 07:00:00.000 008         9.00
2022-01-08 08:00:00.000 008        10.00
2022-01-08 09:00:00.000 008        10.00
2022-01-08 10:00:00.000 008        12.00
2022-01-08 11:00:00.000 008        16.00
2022-01-08 12:00:00.000 008        16.00
2022-01-08 13:00:00.000 008        10.00
2022-01-08 14:00:00.000 008        10.00
2022-01-08 15:00:00.000 008        12.00
2022-01-08 16:00:00.000 008        11.00
2022-01-08 17:00:00.000 008        11.00
2022-01-08 18:00:00.000 008        25.00
2022-01-08 19:00:00.000 008        22.00
2022-01-08 20:00:00.000 008         3.00
2022-01-08 21:00:00.000 008         0.00
2022-01-08 22:00:00.000 008       -14.00
2022-01-08 23:00:00.000 008       -11.00
2022-01-09 00:00:00.000 009       -11.00
2022-01-09 01:00:00.000 009       -16.00
2022-01-09 02:00:00.000 009       -12.00
2022-01-09 03:00:00.000 009       -13.00
2022-01-09 04:00:00.000 009       -13.00
2022-01-09 05:00:00.000 009       -11.00
2022-01-09 06:00:00.000 009        -8.00
2022-01-09 07:00:00.000 009       -14.00
2022-01-09 08:00:00.000 009       -18.00
2022-01-09 09:00:00.000 009       -25.00
2022-01-09 10:00:00.000 009       -26.00
2022-01-09 11:00:00.000 009       -23.00
2022-01-09 12:00:00.000 009       -26.00
2022-01-09 13:00:00.000 009       -27.00
2022-01-09 14:00:00.000 009       -26.00
2022-01-09 15:00:00.000 009       -21.00
2022-01-09 16:00:00.000 009       -16.00
2022-01-09 17:00:00.000 009       -11.00
2022-01-09 18:00:00.000 009        -9.00
2022-01-09 19:00:00.000 009       -10.00
2022-01-09 20:00:00.000 009       -10.00
2022-01-09 21:00:00.000 009       -11.00
2022-01-09 22:00:00.000 009       -11.00
2022-01-09 23:00:00.000 009       -10.00
2022-01-10 00:00:00.000 010       -10.00
2022-01-10 01:00:00.000 010        -8.00
2022-01-10 02:00:00.000 010        -4.00
2022-01-10 03:00:00.000 010        -2.00
2022-01-10 04:00:00.000 010         0.00
2022-01-10 05:00:00.000 010        -2.00
2022-01-10 06:00:00.000 010        -3.00
2022-01-10 07:00:00.000 010        -7.00
2022-01-10 08:00:00.000 010        -7.00
2022-01-10 09:00:00.000 010        -7.00
2022-01-10 10:00:00.000 010        -8.00
2022-01-10 11:00:00.000 010        -7.00
2022-01-10 12:00:00.000 010       -10.00
2022-01-10 13:00:00.000 010       -13.00
2022-01-10 14:00:00.000 010        -9.00
2022-01-10 15:00:00.000 010       -10.00
2022-01-10 16:00:00.000 010       -12.00
2022-01-10 17:00:00.000 010       -14.00
2022-01-10 18:00:00.000 010       -13.00
2022-01-10 19:00:00.000 010       -13.00
2022-01-10 20:00:00.000 010       -12.00
2022-01-10 21:00:00.000 010       -11.00
2022-01-10 22:00:00.000 010       -10.00
2022-01-10 23:00:00.000 010        -6.00
2022-01-11 00:00:00.000 011        -4.00
2022-01-11 01:00:00.000 011        -4.00
2022-01-11 02:00:00.000 011        -6.00
2022-01-11 03:00:00.000 011        -9.00
2022-01-11 04:00:00.000 011        -9.00
2022-01-11 05:00:00.000 011        -7.00
2022-01-11 06:00:00.000 011        -7.00
2022-01-11 07:00:00.000 011        -6.00
2022-01-11 08:00:00.000 011        -4.00
2022-01-11 09:00:00.000 011        -2.00
2022-01-11 10:00:00.000 011        -2.00
2022-01-11 11:00:00.000 011        -1.00
2022-01-11 12:00:00.000 011        -1.00
2022-01-11 13:00:00.000 011        -6.00
2022-01-11 14:00:00.000 011        -9.00
2022-01-11 15:00:00.000 011       -11.00
2022-01-11 16:00:00.000 011       -16.00
2022-01-11 17:00:00.000 011       -11.00
2022-01-11 18:00:00.000 011        -6.00
2022-01-11 19:00:00.000 011        -3.00
2022-01-11 20:00:00.000 011        -1.00
2022-01-11 21:00:00.000 011         1.00
2022-01-11 22:00:00.000 011         3.00
2022-01-11 23:00:00.000 011         5.00
2022-01-12 00:00:00.000 012         8.00
2022-01-12 01:00:00.000 012         7.00
2022-01-12 02:00:00.000 012         5.00
2022-01-12 03:00:00.000 012        -1.00
2022-01-12 04:00:00.000 012        -2.00
2022-01-12 05:00:00.000 012         1.00
2022-01-12 06:00:00.000 012         1.00
2022-01-12 07:00:00.000 012         1.00
2022-01-12 08:00:00.000 012         3.00
2022-01-12 09:00:00.000 012         5.00
2022-01-12 10:00:00.000 012         5.00
2022-01-12 11:00:00.000 012         5.00
2022-01-12 12:00:00.000 012         6.00
2022-01-12 13:00:00.000 012         5.00
2022-01-12 14:00:00.000 012         2.00
2022-01-12 15:00:00.000 012        -3.00
2022-01-12 16:00:00.000 012        -4.00
2022-01-12 17:00:00.000 012        -4.00
2022-01-12 18:00:00.000 012        -4.00
2022-01-12 19:00:00.000 012        -3.00
2022-01-12 20:00:00.000 012         0.00
2022-01-12 21:00:00.000 012         2.00
2022-01-12 22:00:00.000 012         4.00
2022-01-12 23:00:00.000 012         2.00
2022-01-13 00:00:00.000 013         1.00
2022-01-13 01:00:00.000 013        -1.00
