 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 01:12:00.000 015     27586.21  -3088.31  22534.14  35929.71
2022-01-15 01:13:00.000 015     27586.32  -3088.46  22534.10  35929.80
2022-01-15 01:14:00.000 015     27586.08  -3088.66  22534.04  35929.57
2022-01-15 01:15:00.000 015     27586.06  -3088.85  22533.93  35929.56
2022-01-15 01:16:00.000 015     27586.10  -3088.91  22533.82  35929.54
2022-01-15 01:17:00.000 015     27586.62  -3088.81  22533.78  35929.90
2022-01-15 01:18:00.000 015     27587.33  -3088.62  22533.75  35930.41
2022-01-15 01:19:00.000 015     27588.13  -3088.52  22533.81  35931.01
2022-01-15 01:20:00.000 015     27588.52  -3087.97  22533.68  35931.17
2022-01-15 01:21:00.000 015     27588.65  -3087.03  22533.30  35931.01
2022-01-15 01:22:00.000 015     27588.70  -3086.51  22533.04  35930.83
2022-01-15 01:23:00.000 015     27588.64  -3085.85  22532.78  35930.55
2022-01-15 01:24:00.000 015     27588.77  -3084.90  22532.39  35930.35
2022-01-15 01:25:00.000 015     27588.50  -3084.56  22532.15  35929.95
2022-01-15 01:26:00.000 015     27588.48  -3084.13  22531.89  35929.77
2022-01-15 01:27:00.000 015     27588.12  -3084.09  22531.76  35929.38
2022-01-15 01:28:00.000 015     27587.67  -3084.38  22531.75  35929.03
2022-01-15 01:29:00.000 015     27586.92  -3084.94  22531.74  35928.51
2022-01-15 01:30:00.000 015     27586.46  -3085.55  22531.83  35928.24
2022-01-15 01:31:00.000 015     27586.11  -3085.83  22531.87  35927.99
2022-01-15 01:32:00.000 015     27585.63  -3085.95  22531.80  35927.62
2022-01-15 01:33:00.000 015     27585.02  -3086.17  22531.74  35927.11
2022-01-15 01:34:00.000 015     27584.77  -3086.31  22531.75  35926.93
2022-01-15 01:35:00.000 015     27584.43  -3086.60  22531.77  35926.68
2022-01-15 01:36:00.000 015     27584.33  -3086.77  22531.81  35926.64
2022-01-15 01:37:00.000 015     27584.11  -3086.80  22531.80  35926.50
2022-01-15 01:38:00.000 015     27583.90  -3087.15  22531.91  35926.40
2022-01-15 01:39:00.000 015     27583.53  -3087.55  22531.97  35926.19
2022-01-15 01:40:00.000 015     27583.22  -3088.02  22532.09  35926.04
2022-01-15 01:41:00.000 015     27582.82  -3088.61  22532.24  35925.90
2022-01-15 01:42:00.000 015     27582.50  -3089.15  22532.36  35925.78
