 Format                 IAGA-2002                                    |
 Source of Data         Arctic and Antarctic Research Institute      |
 Station Name           Vostok                                       |
 IAGA CODE              VOS                                          |
 Geodetic Latitude      -78.464                                      |
 Geodetic Longitude     106.835                                      |
 Elevation              3488                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.03-second                                  |
 Data Interval Type     1-minute                                     |
 Data Type              provisional                                  |
 # This data file was created using INTERMAGNET data from the        |
 # Kyoto GIN. These data were acquired from an INTERMAGNET reported  |
 # data file. Final data will be available on the INTERMAGNET DVD.   |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgment templates can be found     |
 # at www.intermagnet.org.                                           |
DATE       TIME         DOY     VOSX      VOSY      VOSZ      VOSF   |
2022-01-15 01:09:00.000 015     -7487.00 -11444.00 -57584.00  99999.00
2022-01-15 01:10:00.000 015     -7488.00 -11439.00 -57583.00  99999.00
2022-01-15 01:11:00.000 015     -7489.00 -11438.00 -57582.00  99999.00
2022-01-15 01:12:00.000 015     -7490.00 -11436.00 -57582.00  99999.00
2022-01-15 01:13:00.000 015     -7486.00 -11435.00 -57581.00  99999.00
2022-01-15 01:14:00.000 015     -7478.00 -11436.00 -57579.00  99999.00
2022-01-15 01:15:00.000 015     -7471.00 -11437.00 -57577.00  99999.00
2022-01-15 01:16:00.000 015     -7466.00 -11436.00 -57577.00  99999.00
2022-01-15 01:17:00.000 015     -7457.00 -11438.00 -57575.00  99999.00
2022-01-15 01:18:00.000 015     -7449.00 -11441.00 -57574.00  99999.00
2022-01-15 01:19:00.000 015     -7440.00 -11442.00 -57572.00  99999.00
2022-01-15 01:20:00.000 015     -7430.00 -11449.00 -57570.00  99999.00
2022-01-15 01:21:00.000 015     -7421.00 -11453.00 -57569.00  99999.00
2022-01-15 01:22:00.000 015     -7414.00 -11460.00 -57569.00  99999.00
2022-01-15 01:23:00.000 015     -7409.00 -11464.00 -57571.00  99999.00
2022-01-15 01:24:00.000 015     -7405.00 -11466.00 -57574.00  99999.00
2022-01-15 01:25:00.000 015     -7404.00 -11471.00 -57577.00  99999.00
2022-01-15 01:26:00.000 015     -7405.00 -11473.00 -57580.00  99999.00
2022-01-15 01:27:00.000 015     -7410.00 -11472.00 -57584.00  99999.00
